FunctionalAssessment,ADL,MMSE,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8.0114,10.0,23.9136,,,,,,
0.2021,4.7816,3.4916,1131.52,3.0,3.0,3.0,0.0,0.3309
1.2857,-0.336,16.7855,,,,,,
,,,,,,,,
1.4357,2.9074,11.6033,,,,,,
-0.3626,1.283,14.442,1085.58,2.0,2.0,2.0,0.0,0.221
,,,,,,,,
-1.6944,-1.5246,16.9925,1035.93,1.0,1.0,1.0,0.0,0.2435
,,,,,,,,
0.9926,5.3033,-7.3048,1036.73,1.0,1.0,1.0,0.0,0.2478
,,,,,,,,
1.4511,4.4272,1.3548,1041.7,1.0,1.0,1.0,0.0,0.1921
,,,,,,,,
2.2541,3.4349,2.1617,1041.15,1.0,1.0,1.0,0.0,0.2021
,,,,,,,,
2.8382,1.9324,1.7416,1042.85,1.0,1.0,1.0,0.0,0.1738
,,,,,,,,
4.2484,1.7155,0.0,1041.83,1.0,1.0,1.0,0.0,0.1924
,,,,,,,,
3.4185,2.2072,0.0,1042.29,1.0,1.0,1.0,0.0,0.1808
,,,,,,,,
4.2848,1.401,0.7697,1041.69,1.0,1.0,1.0,0.0,0.1927
,,,,,,,,
4.1281,0.5942,0.0,1043.36,1.0,1.0,1.0,0.0,0.1538
,,,,,,,,
4.2623,0.5731,0.0,1043.52,1.0,1.0,1.0,0.0,0.1572
,,,,,,,,
2.8829,1.8037,2.5203,1042.61,1.0,1.0,1.0,0.0,0.1801
,,,,,,,,
5.184,0.2231,0.4756,1042.41,1.0,1.0,1.0,0.0,0.1774
,,,,,,,,
5.1422,0.2942,0.0,1042.79,1.0,1.0,1.0,0.0,0.1733
,,,,,,,,
5.1383,0.2912,0.0,1042.82,1.0,1.0,1.0,0.0,0.1731
,,,,,,,,
4.2765,0.5839,0.0,1043.51,1.0,1.0,1.0,0.0,0.158
,,,,,,,,
4.1632,0.7847,0.6408,1043.0,1.0,1.0,1.0,0.0,0.1683
,,,,,,,,
5.1381,0.0,0.8772,1042.98,1.0,1.0,1.0,0.0,0.1731
,,,,,,,,
4.2153,0.5144,0.0,1043.77,1.0,1.0,1.0,0.0,0.1538
,,,,,,,,
4.396,0.5426,0.0,1043.6,1.0,1.0,1.0,0.0,0.1601
,,,,,,,,
4.9546,0.2639,0.0,1043.32,1.0,1.0,1.0,0.0,0.167
,,,,,,,,
5.0947,0.0,0.0,1043.51,1.0,1.0,1.0,0.0,0.1622
,,,,,,,,
5.1591,0.2376,0.0,1043.06,1.0,1.0,1.0,0.0,0.1719
,,,,,,,,
4.1476,0.5122,0.7697,1043.59,1.0,1.0,1.0,0.0,0.1603
,,,,,,,,
4.9678,0.2585,0.8429,1042.94,1.0,1.0,1.0,0.0,0.1766
,,,,,,,,
5.0156,0.28,0.0,1043.23,1.0,1.0,1.0,0.0,0.1693
,,,,,,,,
5.1652,0.0,0.0,1043.43,1.0,1.0,1.0,0.0,0.1642
,,,,,,,,
5.1598,0.2819,0.0,1043.06,1.0,1.0,1.0,0.0,0.1734
,,,,,,,,
4.9918,0.0,0.0,1043.63,1.0,1.0,1.0,0.0,0.1593
,,,,,,,,
5.1431,0.2848,0.0,1043.08,1.0,1.0,1.0,0.0,0.1731
,,,,,,,,
4.9647,0.0,0.0,1043.66,1.0,1.0,1.0,0.0,0.1585
,,,,,,,,
5.1583,0.0,0.0,1043.44,1.0,1.0,1.0,0.0,0.164
,,,,,,,,
5.0213,0.2889,0.6434,1042.92,1.0,1.0,1.0,0.0,0.1769
,,,,,,,,
5.1144,0.2631,0.0,1043.14,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,
5.0263,0.2769,0.0,1043.22,1.0,1.0,1.0,0.0,0.1695
,,,,,,,,
5.1432,0.0,0.0,1043.46,1.0,1.0,1.0,0.0,0.1636
,,,,,,,,
5.1486,0.0,0.0,1043.45,1.0,1.0,1.0,0.0,0.1637
,,,,,,,,
5.0085,0.0,0.0,1043.61,1.0,1.0,1.0,0.0,0.1597
,,,,,,,,
5.078,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.1166,0.2987,0.0,1043.09,1.0,1.0,1.0,0.0,0.1728
,,,,,,,,
5.1543,0.0,0.0,1043.44,1.0,1.0,1.0,0.0,0.1639
,,,,,,,,
5.0527,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.161
,,,,,,,,
4.9779,0.0,0.0,1043.64,1.0,1.0,1.0,0.0,0.1589
,,,,,,,,
4.9672,0.0,0.0,1043.66,1.0,1.0,1.0,0.0,0.1585
,,,,,,,,
5.1455,0.0,0.0,1043.46,1.0,1.0,1.0,0.0,0.1636
,,,,,,,,
5.1411,0.0,0.0,1043.46,1.0,1.0,1.0,0.0,0.1635
,,,,,,,,
5.0064,0.0,0.0,1043.61,1.0,1.0,1.0,0.0,0.1597
,,,,,,,,
5.1754,0.0,0.0,1043.42,1.0,1.0,1.0,0.0,0.1644
,,,,,,,,
5.058,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
4.2497,0.4784,0.0,1043.85,1.0,1.0,1.0,0.0,0.1537
,,,,,,,,
4.9869,0.0,0.0,1043.64,1.0,1.0,1.0,0.0,0.1591
,,,,,,,,
4.3195,0.5361,0.0,1043.69,1.0,1.0,1.0,0.0,0.1577
,,,,,,,,
4.2801,0.551,1.3521,1043.02,1.0,1.0,1.0,0.0,0.172
,,,,,,,,
4.3448,0.4816,0.0,1043.74,1.0,1.0,1.0,0.0,0.1566
,,,,,,,,
4.295,0.7933,0.0,1043.39,1.0,1.0,1.0,0.0,0.1653
,,,,,,,,
4.3013,0.8357,0.0,1043.32,1.0,1.0,1.0,0.0,0.1669
,,,,,,,,
4.3412,0.5799,0.0,1043.61,1.0,1.0,1.0,0.0,0.1597
,,,,,,,,
4.3484,0.798,0.0,1043.32,1.0,1.0,1.0,0.0,0.167
,,,,,,,,
4.3988,1.175,0.0,1042.78,1.0,1.0,1.0,0.0,0.1806
,,,,,,,,
4.0915,1.4121,0.0,1042.85,1.0,1.0,1.0,0.0,0.1787
,,,,,,,,
4.3876,0.5736,0.0,1043.56,1.0,1.0,1.0,0.0,0.1609
,,,,,,,,
4.1268,1.1648,0.0,1043.11,1.0,1.0,1.0,0.0,0.1723
,,,,,,,,
4.1257,0.8772,0.0,1043.48,1.0,1.0,1.0,0.0,0.163
,,,,,,,,
4.119,0.8666,0.0,1043.5,1.0,1.0,1.0,0.0,0.1625
,,,,,,,,
4.3768,1.1676,0.0,1042.81,1.0,1.0,1.0,0.0,0.1798
,,,,,,,,
4.1325,0.881,0.0,1043.47,1.0,1.0,1.0,0.0,0.1633
,,,,,,,,
4.1523,1.1852,0.0,1043.06,1.0,1.0,1.0,0.0,0.1736
,,,,,,,,
4.392,0.8842,0.0,1043.16,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,
4.1489,0.8941,0.0,1043.43,1.0,1.0,1.0,0.0,0.1642
,,,,,,,,
4.1377,1.174,0.0,1043.08,1.0,1.0,1.0,0.0,0.1729
,,,,,,,,
4.1503,0.8929,0.0,1043.43,1.0,1.0,1.0,0.0,0.1642
,,,,,,,,
4.16,1.4869,0.0,1042.68,1.0,1.0,1.0,0.0,0.183
,,,,,,,,
4.15,0.8702,0.0,1043.46,1.0,1.0,1.0,0.0,0.1635
,,,,,,,,
4.1222,1.4701,0.0,1042.75,1.0,1.0,1.0,0.0,0.1813
,,,,,,,,
4.1615,0.5946,0.0,1043.8,1.0,1.0,1.0,0.0,0.1549
,,,,,,,,
4.1623,1.1828,0.0,1043.04,1.0,1.0,1.0,0.0,0.1739
,,,,,,,,
4.1348,0.8899,0.0,1043.45,1.0,1.0,1.0,0.0,0.1637
,,,,,,,,
4.1624,0.8852,0.0,1043.42,1.0,1.0,1.0,0.0,0.1644
,,,,,,,,
4.1694,1.1938,0.0,1043.02,1.0,1.0,1.0,0.0,0.1744
,,,,,,,,
4.1595,1.1795,0.0,1043.05,1.0,1.0,1.0,0.0,0.1737
,,,,,,,,
4.1674,0.8845,0.0,1043.42,1.0,1.0,1.0,0.0,0.1645
,,,,,,,,
4.1531,0.8814,0.0,1043.44,1.0,1.0,1.0,0.0,0.1639
,,,,,,,,
4.1705,0.8946,0.0,1043.4,1.0,1.0,1.0,0.0,0.1649
,,,,,,,,
4.1746,0.5896,0.0,1043.8,1.0,1.0,1.0,0.0,0.1551
,,,,,,,,
4.1466,1.1813,0.0,1043.06,1.0,1.0,1.0,0.0,0.1734
,,,,,,,,
4.1674,0.5968,0.0,1043.8,1.0,1.0,1.0,0.0,0.1551
,,,,,,,,
4.155,0.8924,0.0,1043.42,1.0,1.0,1.0,0.0,0.1644
,,,,,,,,
4.1572,1.1579,0.0,1043.08,1.0,1.0,1.0,0.0,0.1729
,,,,,,,,
4.1576,0.5815,0.0,1043.83,1.0,1.0,1.0,0.0,0.1543
,,,,,,,,
4.1676,0.5971,0.0,1043.8,1.0,1.0,1.0,0.0,0.1551
,,,,,,,,
4.1749,1.1814,0.0,1043.03,1.0,1.0,1.0,0.0,0.1742
,,,,,,,,
4.1727,0.8962,0.0,1043.4,1.0,1.0,1.0,0.0,0.165
,,,,,,,,
4.1486,0.5959,0.0,1043.82,1.0,1.0,1.0,0.0,0.1545
,,,,,,,,
4.169,0.8789,0.0,1043.42,1.0,1.0,1.0,0.0,0.1644
,,,,,,,,
4.1633,0.8914,0.0,1043.42,1.0,1.0,1.0,0.0,0.1646
,,,,,,,,
4.1463,0.592,0.0,1043.83,1.0,1.0,1.0,0.0,0.1543
,,,,,,,,
4.1781,0.5945,0.0,1043.78,1.0,1.0,1.0,0.0,0.1554
,,,,,,,,
4.1774,0.597,0.0,1043.78,1.0,1.0,1.0,0.0,0.1554
,,,,,,,,
4.1649,0.8972,0.0,1043.41,1.0,1.0,1.0,0.0,0.1648
,,,,,,,,
4.1714,0.5918,0.0,1043.8,1.0,1.0,1.0,0.0,0.1551
,,,,,,,,
4.1844,0.8948,0.0,1043.39,1.0,1.0,1.0,0.0,0.1653
,,,,,,,,
4.166,0.8882,0.0,1043.42,1.0,1.0,1.0,0.0,0.1646
,,,,,,,,
5.0465,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1608
,,,,,,,,
5.071,0.2928,0.0,1043.15,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,
5.066,0.2995,0.0,1043.14,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,
5.0597,0.2963,0.0,1043.16,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,
5.0547,0.2985,0.0,1043.16,1.0,1.0,1.0,0.0,0.171
,,,,,,,,
5.0751,0.2971,0.0,1043.14,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,
4.1873,0.5989,0.0,1043.77,1.0,1.0,1.0,0.0,0.1558
,,,,,,,,
5.0524,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.161
,,,,,,,,
5.0821,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0715,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0685,0.298,0.0,1043.14,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,
5.0666,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0769,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0754,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0695,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0636,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0788,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0792,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0603,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0691,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0758,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0807,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0797,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0728,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0786,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.081,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0721,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0829,0.0,0.0,1043.52,1.0,1.0,1.0,0.0,0.1619
,,,,,,,,
5.0652,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.079,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.077,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0748,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0787,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0645,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0604,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0694,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0738,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0638,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0571,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0701,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0729,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0662,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0619,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0713,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0812,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.068,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0717,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0517,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.161
,,,,,,,,
5.0711,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0751,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0643,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0746,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0573,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0779,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0578,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0762,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.065,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0771,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0659,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0742,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0628,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0699,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0621,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0668,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0724,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0598,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0727,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0718,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0661,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0648,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0716,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0586,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0735,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0669,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0831,0.0,0.0,1043.52,1.0,1.0,1.0,0.0,0.1619
,,,,,,,,
5.0764,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0745,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0558,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0785,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0752,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0575,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0767,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0656,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0637,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0657,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0671,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.074,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0624,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
5.0794,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0674,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0731,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0545,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0698,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0263,0.0,0.0,1043.59,1.0,1.0,1.0,0.0,0.1603
,,,,,,,,
5.0732,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0737,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0739,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0705,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.067,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0478,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1609
,,,,,,,,
5.0562,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0689,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0389,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1606
,,,,,,,,
5.0757,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
